CEFR level,order_index,subject,subject_words ,need their own video lessons ,used 
A1,1,Saying Hello,"hi, hello, good morning, good afternoon, good evening, goodbye, please, bye ",the,early 
A1,2,Meeting New People,"meet, friend, nice, this, is, from, yes, no, ",be,late
A1,3,Asking Someone’s Name,"what, your, name, am, called ",and,now
A1,4,Asking a Question,"who, where, when, why, how, you",of,later
A1,5,Talking About Age,"old, age, years, young, number, man, woman, ",to,need
A1,6,this or that,"not, that, or, would, other, some, really, either, may, nor",a,corner
A1,7,Counting from 1 to 10,"one, two, three, four, five, six, seven, eight, nine, ten",in,no 
A1,8,Asking the Time,"time, clock, hour, minute, early, late, now, later, recent",have,yes 
A1,9,Asking About Location,"here, there, place, city, home, school, street",it,bathroom
A1,10,Making a Quick Request,"give, take, help, want, need, thank you, okay, for",you,where
A1,11,Giving Basic Directions,"left, right, straight, turn, go, stop, near, far, corner",he,how
A1,12,Shopping for Groceries,"shop, buy, food, milk, bread, fruit, rice, egg, price, pay",need a he/she/they/you lesson,handsome
A1,13,Asking for the Meaning,"say, mean, word, speak, language, english",they ,meeting
A1,14,Around the House,"room, bed, chair, table, kitchen, door, window, light, bathroom",my,not
A1,15,Talking at a Party,"dance, music, drink, fun, talk, people, song, happy, smile",,that
A1,16,Light Flirtation,"pretty, handsome, look, like, love, eyes, sweet",we,
A2,1,Family Gatherings,"mother, father, sister, brother, family, uncle, aunt, cousin, little",is/isn't ,on
A2,2,Meeting Coworkers,"work, office, job, boss, team, meeting, desk, coffee, computer",,with
A2,3,Making Plans,"plan, tomorrow, today, lunch, dinner, weekend",am/am not,this
A2,4,Going on a First Date,"date, eat, cinema, walk, park, gift, begin, end",i,
A2,5,Movie Night,"movie, film, watch, screen, seat, ticket, act, role",do/does/don't ,do
A2,6,Going Shopping,"shirt, pants, shoes, dress, bag, hat, colour, list, boot ",,as
A2,7,Do You Have Plans?,"maybe, free, busy, stay, might, actual, else, feed",,at
A2,8,Basic Directions,"ahead, opposite, beside, behind, along, toward, through, back, among",she,
A2,9,Meeting Coworkers Again,"colleague, project, manager, report, schedule, assignment",we should do a lesson on americanisms ,but
A2,10,Introducing My Partner,"partner, relationship, married, boyfriend, girlfriend, wife, husband, couple, together",gonna need a way to save lessons most relevant,from
A2,11,What Do You Do?,"career, profession, doctor, engineer, factory, writer, lawyer ",need to think about american vs english generally ,by
A2,12,Giving Directions,"traffic, sign, follow, continue, path, exit, further, passage",need a lesson on the ideal of plurality ,will
A2,13,Times of the Day,"midday, midnight, sunrise, sunset, night",bought/buy,or
A2,14,What Is That?,"object, item, thing, stuff, material, plastic, metal, shape",teach/ taught,
A2,15,Work and Hobbies,"painting, cooking, cycling, jogging, gardening, reading, swimming, hiking, knitting",(lessons on past/present/future),go
A2,16,Telling the Time,"quarter, half, past, exact ",,so
A2,17,What Do You Like to Do?,"enjoy, prefer, relax, exercise, travel, listen",,all
A2,18,Ordering Coffee,"sugar, cream, small, medium, large, prepare",,if
A2,19,Learning Colours,"red, blue, green, yellow, orange, purple, black, white, grey, brown, pink",,one
A2,20,Describing Where You’re From,"country, village, capital, region, culture, tradition, origin, base",,would
A2,21,Talking About Music,"artist, band, instrument, concert, sing, style, sound",,about
A2,22,Guessing Game,"think, know, guess, idea, question, answer, try",,can
A2,23,Your Favorite Artist,"favourite, famous, beautiful, popular",,which
A2,24,Which Languages Do You Speak?,"understand, learn, study, communication, international, accent",,there
A2,25,Talking About Languages,"translate, native, foreign, sentence, phrase, grammar",,know
A2,26,Job Interview Practice,"company, experience, skill, practice, opportunity",,more
A2,27,Nationalities,"national, world, earth, bitish, american, indian, chinese, ",,get
,,Nationalities 2 ,"pakistani, bangladeshi, spanish, french, german, italian",,
A2,28,Where Did You Get It?,"store, market, money, order, find, payment, new ",,who
A2,29,Dressing for a Date,"clothes, wear, belt, attractive, cap, tie",,like
A2,30,I Lost My Phone,"phone, call, contact, message, lost, lose, important, problem, found",,when
A2,31,Seasons and Months,"summer, winter, spring, autumn, year, season, holiday, weather",,think
A2,32,School Subjects,"subject, class, maths, history, science, art, essay",,make
A2,33,Talking About Age 2,"child, parent, life, live, ",,time
A2,34,School Subjects 2,"politics, philosophy, law, religion, business, finance, medicine, education",,see
A2,35,Making Appointments,"appointment, arrange, book, confirm, available, wait, day, everyday",,what
A2,36,When Is the Party?,"party, invite, host, guest, start, finish, tonight, address, location",,up
A2,37,I Miss You,"miss, feel, remember, heart, hope, alone, without",,some
